Latin_correct;Avonet_Latin;Name Phylogeny Latin;APN1;APN2;APW2;CA59;CA60;CA61;CA62;CA63;CA64;CAZ01;CAZ05;CAZ07;CAZ12;CAZ14;CAZ17;CR01;CR02;CR03;CR04;CR05;CR06;CR07;CR08;CR10;CR11;CR12;CR13;CR14;CR16;CR17;CR18;OG11_old;OG37;OG38;OG39;OG40;OG41;OG42;OG43;OG44;OG45;OG46;OG47;OG48;OG49;OG50;OG51;OG52;OGZ04;OGZ09;OGZ10;OGZ13;OGZ20;OGZ21;OGZ22;OGZ23;OGZ25;PA53;PA54;PA55;PA56;PA57;PA58;PAZ03;PAZ07;PAZ11;PAZ15;PAZ18;PR19;PR20;PR21;PR21WUE;PR22;PR23;PR24;PR25;PR26;PR27;PR28;PR29;PR30;PR31;PR32;PR33;PR34;PR36
Aburria aburri;Aburria_aburri;Aburria_aburri;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Accipiter bicolor;Accipiter_bicolor;Accipiter_bicolor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amazilia amabilis;Amazilia_amabilis;Amazilia_amabilis;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
Amazilia franciae;Amazilia_franciae;Amazilia_franciae;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
Amazilia rosenbergi;Amazilia_rosenbergi;Amazilia_rosenbergi;0;0;1;0;2;0;1;1;3;0;0;0;0;0;0;2;2;1;6;1;2;2;2;0;3;2;0;0;0;1;2;0;0;0;3;0;7;0;0;7;0;0;0;0;3;0;6;3;1;0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2;0;1;0;1;2;1;2;2;4;0;0;1;2;0
Amazilia tzacatl;Amazilia_tzacatl;Amazilia_tzacatl;1;3;2;8;8;2;2;1;1;4;3;6;4;12;12;0;0;1;0;1;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;0;2;0;0;0;4;2;1;5;11;9;10;13;4;4;0;0;1;1;0;3;0;0;0;5;1;2;0;4;0;0
Amazona autumnalis;Amazona_autumnalis;Amazona_autumnalis;0;0;1;0;1;2;0;0;2;0;0;0;0;0;0;3;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;2;0;0;0;0;0;0;2;0;4;4;2;1;0;0;0;2;3;0;0;0;0;0;0;0
Amazona farinosa;Amazona_farinosa;Amazona_farinosa;0;1;2;2;1;5;2;3;1;0;0;0;0;0;1;1;0;1;2;2;1;1;0;4;2;0;0;0;1;1;2;0;1;0;2;3;0;3;5;3;1;0;0;5;2;3;5;0;0;0;0;0;0;1;0;0;0;6;3;2;0;0;2;0;0;0;0;0;0;1;3;4;2;3;0;3;3;5;1;0;1;0;1;1;0;4
Amblycercus holosericeus;Amblycercus_holosericeus;Amblycercus_holosericeus;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ampelioides tschudii;Ampelioides_tschudii;Ampelioides_tschudii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
