Avonet_Latin;Name Phylogeny Latin;Family1;Order1;AvibaseID1;Totalindividuals;Female;Male;Unknown;Completemeasures;BeakLength_Culmen;BeakLength_Nares;BeakWidth;BeakDepth;TarsusLength;WingLength;KippsDistance;Secondary1;Hand-WingIndex;TailLength;Mass;MassSource;MassRefsOther;Inference;Traitsinferred;Referencespecies;Habitat;HabitatDensity;Migration;TrophicLevel;TrophicNiche;PrimaryLifestyle;MinLatitude;MaxLatitude;CentroidLatitude;CentroidLongitude;RangeSize
Aburria_aburri;Aburria_aburri;Cracidae;Galliformes;AVIBASE-50A42775;12;6;6;0;4;37,1;16,6;9,3;10,2;65,8;337,2;52,5;283,1;15,7;290,4;1405,1;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;-13,43;11,15;-2,79;-75,23;139314,36
Accipiter_bicolor;Accipiter_bicolor;Accipitridae;Accipitriformes;AVIBASE-ADBE44E1;11;4;5;2;8;25;13,7;8,6;12,7;58,1;229,6;56,6;174,8;24,6;186,3;287,5;Dunning;NA;NO;NA;NA;Woodland;2;2;Carnivore;Vertivore;Generalist;-55,72;23,73;-10,1;-59,96;14309701,27
Amazilia_amabilis;Amazilia_amabilis;Trochilidae;Caprimulgiformes;AVIBASE-98B261C6;22;3;14;5;6;21,3;16,4;2;1,9;4,3;52,3;32,8;18,3;64,2;29,2;4,3;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Nectarivore;Aerial;-3,98;14,18;6,51;-78,67;298612,12
Amazilia_franciae;Amazilia_franciae;Trochilidae;Caprimulgiformes;AVIBASE-3FFAFC07;39;3;35;1;4;24,9;20,4;2,6;2;5,8;53,4;33,1;21,1;60,9;33,9;5,0;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-9,28;7,63;-0,39;-77,06;247257,85
Amazilia_julie;Damophila_julie;Trochilidae;Caprimulgiformes;AVIBASE-F730C44E;7;2;4;1;5;16;12,1;1,2;1,6;4,1;43,1;13;30,0;30,4;26;3,3;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-4,06;11,31;6,13;-76,33;289656,61
Amazilia_rosenbergi;Amazilia_rosenbergi;Trochilidae;Caprimulgiformes;AVIBASE-2F2D76A4;5;1;4;0;3;23,9;19,2;2,2;2;6,2;52,8;33,6;18,6;64,5;30;3,7;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;0,13;6,81;3,74;-77,49;67269,18
Amazilia_tzacatl;Amazilia_tzacatl;Trochilidae;Caprimulgiformes;AVIBASE-7739D5A5;106;4;33;69;4;21,9;18,9;3,1;2,4;5,7;56,4;34,4;21,3;61,7;34,2;4,8;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-4,19;19,92;10,7;-81,8;1019992,01
Amazona_autumnalis;Amazona_autumnalis;Psittacidae;Psittaciformes;AVIBASE-56EC9CA9;7;2;2;3;4;39,1;30,1;16,4;29,6;22,1;201,7;62,6;139,0;31;117,4;416,0;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Frugivore;Insessorial;-0,59;23,83;12,93;-84,94;902004,22
Amazona_farinosa;Amazona_farinosa;Psittacidae;Psittaciformes;AVIBASE-77721E6B;11;4;5;2;6;42,3;35,6;20,5;35,4;26,6;244,9;68,7;177,2;27,9;135;626,0;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Insessorial;-25,28;12,46;-3,6;-63,4;6793599,57
Amblycercus_holosericeus;Amblycercus_holosericeus;Icteridae;Passeriformes;AVIBASE-8DAADD7F;27;4;10;13;9;30,3;21,3;7;9,8;31,5;94,6;9,7;82,4;10,6;97,5;70,4;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-18,35;23,75;9,78;-84,39;1152587,02
Ampelioides_tschudii;Ampelioides_tschudii;Cotingidae;Passeriformes;AVIBASE-4D9E317C;11;4;7;0;4;22,6;10,8;7,1;6,2;20,8;100,5;23,9;76,2;23,9;65,5;78,4;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Frugivore;Insessorial;-15,8;10,79;-4,88;-74,95;201035,43
Anabacerthia_variegaticeps;Anabacerthia_variegaticeps;Furnariidae;Passeriformes;AVIBASE-C9861D7F;12;1;9;2;4;17;10,9;3,6;5,1;19,4;85,2;15,6;69,2;18,4;70,6;27,8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-4,1;18,71;11,78;-87,48;215334,52
Androdon_aequatorialis;Androdon_aequatorialis;Trochilidae;Caprimulgiformes;AVIBASE-E82816C6;5;3;2;0;4;39,9;35,5;3,1;3,2;5,7;68;40,9;26,1;61,1;41,4;7,3;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;-0,26;8,31;4,5;-77,3;113195,04
Anthracothorax_nigricollis;Anthracothorax_nigricollis;Trochilidae;Caprimulgiformes;AVIBASE-BC459FEC;27;10;13;4;6;25,7;20,8;2,4;2,4;4,5;66,3;41,2;23,0;64,1;37,2;7,0;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Nectarivore;Aerial;-32,17;12,46;-9,16;-59,03;9808667,81
Ara_ambiguus;Ara_ambiguus;Psittacidae;Psittaciformes;AVIBASE-8C233878;5;1;3;1;4;75;71,3;32,3;74;37;400;157,6;243,9;39,2;445,2;1300,0;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Granivore;Insessorial;-2,23;15,83;8,44;-79,83;108291,56
Ara_severus;Ara_severus;Psittacidae;Psittaciformes;AVIBASE-25BE1729;15;4;7;4;8;39,7;36,1;20,5;36,9;20,7;239,4;86,3;153,3;35,9;242,6;343,0;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Insessorial;-17,01;10,99;-4,21;-64,83;5824492,61
Aramides_wolfi;Aramides_wolfi;Rallidae;Gruiformes;AVIBASE-56FEE337;6;2;1;3;6;54;28,2;5;10,9;72,7;164,8;19,5;145,3;11,8;49,5;454,0;Dunning;NA;NO;NA;NA;Woodland;1;1;Omnivore;Omnivore;Terrestrial;-3,77;6,28;1,29;-78,58;119660,54
Arremon_aurantiirostris;Arremon_aurantiirostris;Passerellidae;Passeriformes;AVIBASE-DDB56D82;33;6;22;5;9;16;10,9;6,6;8,5;25,5;72,7;8,3;65,1;11,3;66,4;34,5;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Insessorial;-9,41;18,08;6,04;-81,21;693974,17
Arremonops_conirostris;Arremonops_conirostris;Passerellidae;Passeriformes;AVIBASE-BF9F34F5;20;7;11;2;8;18;11,7;6,2;8,5;28,1;73,7;6,3;70,1;8,2;67,6;35,9;Dunning;NA;NO;NA;NA;Forest;2;1;Omnivore;Omnivore;Terrestrial;-4,15;15,59;7,33;-71,38;1132799,46
Asemospiza_obscura;Tiaris_obscurus;Thraupidae;Passeriformes;AVIBASE-E83C7E46;11;2;5;4;4;10,4;5,4;4,8;5,8;17,3;52,4;7,9;46,0;14,7;42,3;11,2;Dunning;NA;NO;NA;NA;Shrubland;2;2;Herbivore;Granivore;Terrestrial;-25,74;11,69;-6,35;-72,97;1000344,6
Atticora_tibialis;Neochelidon_tibialis;Hirundinidae;Passeriformes;AVIBASE-40A08189;5;2;2;1;4;7,4;3,9;3,4;2,4;9,7;88,2;38;49,5;43,1;53;10,6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-24,71;9,64;-4,64;-64,67;4182240,09
Attila_spadiceus;Attila_spadiceus;Tyrannidae;Passeriformes;AVIBASE-BA09A296;27;9;9;9;9;22,3;15,8;7,3;6,5;24,9;85,6;12,3;70,9;14,8;67,8;39,1;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-23,01;27,05;-1,44;-65,43;8099963,72
Attila_torridus;Attila_torridus;Tyrannidae;Passeriformes;AVIBASE-2896E1DB;4;0;2;2;4;26,9;17,6;7,7;6,5;25,3;93,5;16,1;77,3;17,2;76,8;46,0;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Invertivore;Insessorial;-4,14;1,19;-1,67;-79,65;5579,78
Aulacorhynchus_haematopygus;Aulacorhynchus_haematopygus;Ramphastidae;Piciformes;AVIBASE-23DB8356;13;4;5;4;5;94;88,3;22,8;28,2;35,7;134,5;20,7;117,7;15;155;194,4;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;-4,54;10,82;3,35;-76;179236,71
Automolus_ochrolaemus;Automolus_ochrolaemus;Furnariidae;Passeriformes;AVIBASE-C1DCEE2E;47;8;17;22;15;22,7;15;4,8;6,4;23,5;87,1;15,1;72,0;17,4;74,8;40,2;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-17,68;18,88;-2,68;-65,48;6428902,26
Automolus_subulatus;Hyloctistes_subulatus;Furnariidae;Passeriformes;AVIBASE-E9BB1550;25;1;17;7;4;25,4;15,6;4,5;5,7;20;79,6;16;65,0;20,1;68,3;28,8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-16,11;7,66;-4,61;-67,66;3284717,79
Bangsia_flavovirens;Chlorospingus_flavovirens;Thraupidae;Passeriformes;AVIBASE-0D919D11;4;1;2;1;4;14,7;8,7;5,3;6,9;20,4;78,2;17,6;60,6;22,5;57,5;25,0;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;0,02;3,63;1,54;-78,06;735,84
Baryphthengus_martii;Baryphthengus_martii;Momotidae;Coraciiformes;AVIBASE-435AB47D;22;10;5;7;7;49,3;33,5;11,7;14;32,6;150,7;24,3;126,6;16,1;250,8;165,0;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Omnivore;Insessorial;-18,13;15,3;-6,17;-68,88;3234290,46
Bubulcus_ibis;Bubulcus_ibis;Ardeidae;Pelecaniformes;AVIBASE-6CCDAC53;14;7;7;0;10;63,3;43,5;8,6;11,5;76,8;244,4;73;171,2;29,9;90,9;366,0;Dunning;NA;NO;NA;NA;Human Modified;3;2;Carnivore;Omnivore;Terrestrial;-55,98;58,29;5,1;-2,69;62451101,72
Buteo_brachyurus;Buteo_brachyurus;Accipitridae;Accipitriformes;AVIBASE-81463CC0;5;1;4;0;4;31,1;17;10,4;14,9;53,8;307,6;90;213,3;29,7;171;496,0;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Vertivore;Aerial;-30,69;29,85;-5,09;-62,04;14372802,04
Buteo_nitidus;Buteo_nitidus;Accipitridae;Accipitriformes;AVIBASE-4ECE179D;10;3;7;0;2;30,3;18,5;11,2;15,3;64,6;247,3;71,9;189,5;27,5;170,6;519,0;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Vertivore;Insessorial;-27,61;12,46;-6,6;-57,82;10412658,23
Cacicus_cela;Cacicus_cela;Icteridae;Passeriformes;AVIBASE-5EFA0D83;12;4;7;1;4;33,7;24;7,9;11,8;29,8;145,3;39,5;104,1;27,2;97,8;85,5;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Omnivore;Insessorial;-19,67;12,46;-4,5;-61,25;8569297,31
Cacicus_uropygialis;Cacicus_uropygialis;Icteridae;Passeriformes;AVIBASE-BD9FCAA1;14;5;4;5;7;31,3;19,7;7,5;9,5;30,6;140,2;31,8;107,5;23;111,8;61,2;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Invertivore;Insessorial;-12,93;11,12;-1,55;-75,96;137670,6
