"SoundIndices";"Diversity";"Estimates";"StdError";"tValue";"Significance";"SignificanceCode"
"(Intercept)";"TD_q0_est_Axis1";17,21;9,31;1,85;0,07;"."
"AcousticDiversity";"TD_q0_est_Axis1";-2,61;1,64;-1,6;0,11;" "
"AcousticEveness";"TD_q0_est_Axis1";-3,54;2,35;-1,51;0,14;" "
"BioAcoustic";"TD_q0_est_Axis1";0;0;-2,25;0,03;"*"
"SoundscapeSaturation";"TD_q0_est_Axis1";1,41;0,57;2,48;0,02;"*"
"EntropyOfVarianceSpectrum";"TD_q0_est_Axis1";1,46;0,45;3,23;0;"**"
"AcousticComplexity";"TD_q0_est_Axis1";-7,8;1,4;-5,58;0;"***"
"TemporalEntropy";"TD_q0_est_Axis1";2,13;0,79;2,71;0,01;"**"
"EventsPerSecond";"TD_q0_est_Axis1";-0,27;0,07;-3,86;0;"***"
"(Intercept)";"TD_q1_est_Axis1";17,99;9,44;1,91;0,06;"."
"AcousticDiversity";"TD_q1_est_Axis1";-2,74;1,66;-1,65;0,1;" "
"AcousticEveness";"TD_q1_est_Axis1";-3,77;2,39;-1,58;0,12;" "
"BioAcoustic";"TD_q1_est_Axis1";0;0;-2,2;0,03;"*"
"SoundscapeSaturation";"TD_q1_est_Axis1";1,47;0,58;2,54;0,01;"*"
"EntropyOfVarianceSpectrum";"TD_q1_est_Axis1";1,53;0,46;3,34;0;"**"
"AcousticComplexity";"TD_q1_est_Axis1";-7,99;1,42;-5,64;0;"***"
"TemporalEntropy";"TD_q1_est_Axis1";2,17;0,8;2,72;0,01;"**"
"EventsPerSecond";"TD_q1_est_Axis1";-0,27;0,07;-3,9;0;"***"
"(Intercept)";"TD_q2_est_Axis1";18,77;9,6;1,96;0,05;"."
"AcousticDiversity";"TD_q2_est_Axis1";-2,87;1,69;-1,7;0,09;"."
"AcousticEveness";"TD_q2_est_Axis1";-4,04;2,43;-1,66;0,1;" "
"BioAcoustic";"TD_q2_est_Axis1";0;0;-2,13;0,04;"*"
"SoundscapeSaturation";"TD_q2_est_Axis1";1,51;0,59;2,57;0,01;"*"
"EntropyOfVarianceSpectrum";"TD_q2_est_Axis1";1,6;0,46;3,44;0;"***"
"AcousticComplexity";"TD_q2_est_Axis1";-8,08;1,44;-5,61;0;"***"
"TemporalEntropy";"TD_q2_est_Axis1";2,17;0,81;2,67;0,01;"**"
"EventsPerSecond";"TD_q2_est_Axis1";-0,28;0,07;-3,92;0;"***"
"(Intercept)";"FD_q0_est_Axis1";3,95;2,03;1,95;0,06;"."
"AcousticDiversity";"FD_q0_est_Axis1";-0,6;0,36;-1,69;0,09;"."
"AcousticEveness";"FD_q0_est_Axis1";-0,84;0,51;-1,64;0,11;" "
"BioAcoustic";"FD_q0_est_Axis1";0;0;-1,81;0,07;"."
"SoundscapeSaturation";"FD_q0_est_Axis1";0,27;0,12;2,21;0,03;"*"
"EntropyOfVarianceSpectrum";"FD_q0_est_Axis1";0,32;0,1;3,24;0;"**"
"AcousticComplexity";"FD_q0_est_Axis1";-1,62;0,3;-5,31;0;"***"
"TemporalEntropy";"FD_q0_est_Axis1";0,33;0,17;1,92;0,06;"."
"EventsPerSecond";"FD_q0_est_Axis1";-0,06;0,02;-3,86;0;"***"
"(Intercept)";"FD_q1_est_Axis1";11,02;6,81;1,62;0,11;" "
"AcousticDiversity";"FD_q1_est_Axis1";-1,83;1,2;-1,53;0,13;" "
"AcousticEveness";"FD_q1_est_Axis1";-2,14;1,72;-1,24;0,22;" "
"BioAcoustic";"FD_q1_est_Axis1";0;0;-0,92;0,36;" "
"SoundscapeSaturation";"FD_q1_est_Axis1";0,76;0,42;1,83;0,07;"."
"EntropyOfVarianceSpectrum";"FD_q1_est_Axis1";0,62;0,33;1,89;0,06;"."
"AcousticComplexity";"FD_q1_est_Axis1";-2,71;1,02;-2,65;0,01;"**"
"TemporalEntropy";"FD_q1_est_Axis1";-0,09;0,57;-0,16;0,87;" "
"EventsPerSecond";"FD_q1_est_Axis1";-0,13;0,05;-2,58;0,01;"*"
"(Intercept)";"FD_q2_est_Axis1";12,81;8,6;1,49;0,14;" "
"AcousticDiversity";"FD_q2_est_Axis1";-2,15;1,51;-1,42;0,16;" "
"AcousticEveness";"FD_q2_est_Axis1";-2,43;2,17;-1,12;0,27;" "
"BioAcoustic";"FD_q2_est_Axis1";0;0;-0,8;0,43;" "
"SoundscapeSaturation";"FD_q2_est_Axis1";0,91;0,53;1,73;0,09;"."
"EntropyOfVarianceSpectrum";"FD_q2_est_Axis1";0,71;0,42;1,7;0,09;"."
"AcousticComplexity";"FD_q2_est_Axis1";-3;1,29;-2,33;0,02;"*"
"TemporalEntropy";"FD_q2_est_Axis1";-0,23;0,73;-0,32;0,75;" "
"EventsPerSecond";"FD_q2_est_Axis1";-0,15;0,06;-2,39;0,02;"*"
"(Intercept)";"PD_q0_est_Axis1";12,39;6,07;2,04;0,04;"*"
"AcousticDiversity";"PD_q0_est_Axis1";-1,91;1,07;-1,79;0,08;"."
"AcousticEveness";"PD_q0_est_Axis1";-2,48;1,53;-1,62;0,11;" "
"BioAcoustic";"PD_q0_est_Axis1";0;0;-2,47;0,02;"*"
"SoundscapeSaturation";"PD_q0_est_Axis1";0,99;0,37;2,67;0,01;"**"
"EntropyOfVarianceSpectrum";"PD_q0_est_Axis1";0,82;0,29;2,8;0,01;"**"
"AcousticComplexity";"PD_q0_est_Axis1";-5,09;0,91;-5,59;0;"***"
"TemporalEntropy";"PD_q0_est_Axis1";1,27;0,51;2,48;0,02;"*"
"EventsPerSecond";"PD_q0_est_Axis1";-0,16;0,04;-3,66;0;"***"
"(Intercept)";"PD_q1_est_Axis1";-10,65;10,94;-0,97;0,33;" "
"AcousticDiversity";"PD_q1_est_Axis1";1,24;1,92;0,65;0,52;" "
"AcousticEveness";"PD_q1_est_Axis1";4,7;2,76;1,7;0,09;"."
"BioAcoustic";"PD_q1_est_Axis1";0;0;-0,93;0,36;" "
"SoundscapeSaturation";"PD_q1_est_Axis1";-0,21;0,67;-0,31;0,76;" "
"EntropyOfVarianceSpectrum";"PD_q1_est_Axis1";-2,17;0,53;-4,11;0;"***"
"AcousticComplexity";"PD_q1_est_Axis1";7,45;1,64;4,54;0;"***"
"TemporalEntropy";"PD_q1_est_Axis1";-2,48;0,92;-2,69;0,01;"**"
"EventsPerSecond";"PD_q1_est_Axis1";0,31;0,08;3,77;0;"***"
