;;;q0;;;;;;q1;;;;;;q2;;;
;;;;;;;;;;;;;;;;;;
Acoustic Indices (predictor variables);Estimates;StdError;tValue;Significance;SignificanceCode;;Estimates;StdError;tValue;Significance;SignificanceCode;;Estimates;StdError;tValue;Significance;SignificanceCode;
(Intercept);17,21;9,31;1,85;0,07;.;;17,99;9,44;1,91;0,06;.;;18,77;9,6;1,96;0,05;.;Taxonomic Diversity
AcousticDiversity;-2,61;1,64;-1,6;0,11; ;;-2,74;1,66;-1,65;0,1; ;;-2,87;1,69;-1,7;0,09;.;
AcousticEveness;-3,54;2,35;-1,51;0,14; ;;-3,77;2,39;-1,58;0,12; ;;-4,04;2,43;-1,66;0,1; ;
BioAcoustic;0;0;-2,25;0,03;*;;0;0;-2,2;0,03;*;;0;0;-2,13;0,04;*;
SoundscapeSaturation;1,41;0,57;2,48;0,02;*;;1,47;0,58;2,54;0,01;*;;1,51;0,59;2,57;0,01;*;
EntropyOfVarianceSpectrum;1,46;0,45;3,23;0;**;;1,53;0,46;3,34;0;**;;1,6;0,46;3,44;0;***;
AcousticComplexity;-7,8;1,4;-5,58;0;***;;-7,99;1,42;-5,64;0;***;;-8,08;1,44;-5,61;0;***;
TemporalEntropy;2,13;0,79;2,71;0,01;**;;2,17;0,8;2,72;0,01;**;;2,17;0,81;2,67;0,01;**;
EventsPerSecond;-0,27;0,07;-3,86;0;***;;-0,27;0,07;-3,9;0;***;;-0,28;0,07;-3,92;0;***;
;;;;;;;;;;;;;;;;;;
(Intercept);3,95;2,03;1,95;0,06;.;;11,02;6,81;1,62;0,11; ;;12,81;8,6;1,49;0,14; ;Functional Diversity
AcousticDiversity;-0,6;0,36;-1,69;0,09;.;;-1,83;1,2;-1,53;0,13; ;;-2,15;1,51;-1,42;0,16; ;
AcousticEveness;-0,84;0,51;-1,64;0,11; ;;-2,14;1,72;-1,24;0,22; ;;-2,43;2,17;-1,12;0,27; ;
BioAcoustic;0;0;-1,81;0,07;.;;0;0;-0,92;0,36; ;;0;0;-0,8;0,43; ;
SoundscapeSaturation;0,27;0,12;2,21;0,03;*;;0,76;0,42;1,83;0,07;.;;0,91;0,53;1,73;0,09;.;
EntropyOfVarianceSpectrum;0,32;0,1;3,24;0;**;;0,62;0,33;1,89;0,06;.;;0,71;0,42;1,7;0,09;.;
AcousticComplexity;-1,62;0,3;-5,31;0;***;;-2,71;1,02;-2,65;0,01;**;;-3;1,29;-2,33;0,02;*;
TemporalEntropy;0,33;0,17;1,92;0,06;.;;-0,09;0,57;-0,16;0,87; ;;-0,23;0,73;-0,32;0,75; ;
EventsPerSecond;-0,06;0,02;-3,86;0;***;;-0,13;0,05;-2,58;0,01;*;;-0,15;0,06;-2,39;0,02;*;
;;;;;;;;;;;;;;;;;;
(Intercept);12,39;6,07;2,04;0,04;*;;-10,65;10,94;-0,97;0,33; ;;12,51;8,55;1,46;0,15; ;Phylogenetic Diversity
AcousticDiversity;-1,91;1,07;-1,79;0,08;.;;1,24;1,92;0,65;0,52; ;;-2,11;1,5;-1,4;0,16; ;
AcousticEveness;-2,48;1,53;-1,62;0,11; ;;4,7;2,76;1,7;0,09;.;;-2,29;2,16;-1,06;0,29; ;
BioAcoustic;0;0;-2,47;0,02;*;;0;0;-0,93;0,36; ;;0;0;-0,85;0,4; ;
SoundscapeSaturation;0,99;0,37;2,67;0,01;**;;-0,21;0,67;-0,31;0,76; ;;0,91;0,52;1,75;0,08;.;
EntropyOfVarianceSpectrum;0,82;0,29;2,8;0,01;**;;-2,17;0,53;-4,11;0;***;;0,71;0,41;1,71;0,09;.;
AcousticComplexity;-5,09;0,91;-5,59;0;***;;7,45;1,64;4,54;0;***;;-2,9;1,28;-2,26;0,03;*;
TemporalEntropy;1,27;0,51;2,48;0,02;*;;-2,48;0,92;-2,69;0,01;**;;-0,29;0,72;-0,4;0,69; ;
EventsPerSecond;-0,16;0,04;-3,66;0;***;;0,31;0,08;3,77;0;***;;-0,15;0,06;-2,31;0,02;*;
