"axis","r_squared","diversity_type","q_level"
"TD_q0_est_Axis1",0.70664818314807,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.418153995604726,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.253037700783479,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.588938314188248,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.595183199908542,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.506655131943126,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.523133026701724,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.625165517201952,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.473442034101205,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.422436055764259,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.625166649044894,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.454592702068849,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.422977912972866,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.592250271118248,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.526915346948353,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.423233671787939,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.642884459819434,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.52666148145758,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.457062345286047,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.59680113562853,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.473339269995816,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.62094089760222,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.558394976502903,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.503379570651409,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.447899005343211,"Taxonomic Diversity","q0"
"TD_q0_est_Axis1",0.441020894471622,"Taxonomic Diversity","q0"
