"SoundIndices";"Diversity";"Estimates";"StdError";"tValue";"Significance";"SignificanceCode"
"(Intercept)";"TD_q0_est_Axis1";2,09;0,9;2,33;0,02;"*"
"SoundscapeSaturation";"TD_q0_est_Axis1";0,43;0,24;1,75;0,09;"."
"EntropyOfVarianceSpectrum";"TD_q0_est_Axis1";0,9;0,58;1,55;0,13;" "
"AcousticComplexity";"TD_q0_est_Axis1";-5,9;1,84;-3,21;0;"**"
"TemporalEntropy";"TD_q0_est_Axis1";2,67;0,8;3,35;0;"**"
"EventsPerSecond";"TD_q0_est_Axis1";-0,36;0,09;-4,14;0;"***"
"(Intercept)";"TD_q1_est_Axis1";2,24;0,87;2,57;0,01;"*"
"SoundscapeSaturation";"TD_q1_est_Axis1";0,57;0,24;2,42;0,02;"*"
"EntropyOfVarianceSpectrum";"TD_q1_est_Axis1";1,27;0,57;2,24;0,03;"*"
"AcousticComplexity";"TD_q1_est_Axis1";-6,83;1,79;-3,82;0;"***"
"TemporalEntropy";"TD_q1_est_Axis1";3,01;0,77;3,88;0;"***"
"EventsPerSecond";"TD_q1_est_Axis1";-0,41;0,08;-4,85;0;"***"
"(Intercept)";"TD_q2_est_Axis1";2,31;0,9;2,58;0,01;"*"
"SoundscapeSaturation";"TD_q2_est_Axis1";0,71;0,24;2,92;0,01;"**"
"EntropyOfVarianceSpectrum";"TD_q2_est_Axis1";1,44;0,58;2,48;0,02;"*"
"AcousticComplexity";"TD_q2_est_Axis1";-7,34;1,84;-3,99;0;"***"
"TemporalEntropy";"TD_q2_est_Axis1";3,24;0,8;4,06;0;"***"
"EventsPerSecond";"TD_q2_est_Axis1";-0,45;0,09;-5,19;0;"***"
"(Intercept)";"FD_q0_est_Axis1";0,51;0,18;2,92;0,01;"**"
"SoundscapeSaturation";"FD_q0_est_Axis1";0,07;0,05;1,4;0,17;" "
"EntropyOfVarianceSpectrum";"FD_q0_est_Axis1";0,22;0,11;1,89;0,06;"."
"AcousticComplexity";"FD_q0_est_Axis1";-1,38;0,36;-3,83;0;"***"
"TemporalEntropy";"FD_q0_est_Axis1";0,51;0,16;3,28;0;"**"
"EventsPerSecond";"FD_q0_est_Axis1";-0,08;0,02;-4,83;0;"***"
"(Intercept)";"FD_q1_est_Axis1";0,67;0,23;2,85;0,01;"**"
"SoundscapeSaturation";"FD_q1_est_Axis1";0,11;0,06;1,67;0,1;" "
"EntropyOfVarianceSpectrum";"FD_q1_est_Axis1";0,23;0,15;1,5;0,14;" "
"AcousticComplexity";"FD_q1_est_Axis1";-1,76;0,48;-3,67;0;"***"
"TemporalEntropy";"FD_q1_est_Axis1";0,45;0,21;2,16;0,04;"*"
"EventsPerSecond";"FD_q1_est_Axis1";-0,1;0,02;-4,22;0;"***"
"(Intercept)";"FD_q2_est_Axis1";0,92;0,35;2,61;0,01;"*"
"SoundscapeSaturation";"FD_q2_est_Axis1";0,14;0,1;1,48;0,14;" "
"EntropyOfVarianceSpectrum";"FD_q2_est_Axis1";0,27;0,23;1,17;0,25;" "
"AcousticComplexity";"FD_q2_est_Axis1";-2,35;0,72;-3,25;0;"**"
"TemporalEntropy";"FD_q2_est_Axis1";0,45;0,31;1,44;0,16;" "
"EventsPerSecond";"FD_q2_est_Axis1";-0,13;0,03;-3,8;0;"***"
"(Intercept)";"PD_q0_est_Axis1";1,45;0,7;2,08;0,04;"*"
"SoundscapeSaturation";"PD_q0_est_Axis1";0,37;0,19;1,95;0,06;"."
"EntropyOfVarianceSpectrum";"PD_q0_est_Axis1";0,99;0,45;2,17;0,03;"*"
"AcousticComplexity";"PD_q0_est_Axis1";-4,58;1,43;-3,2;0;"**"
"TemporalEntropy";"PD_q0_est_Axis1";2,56;0,62;4,13;0;"***"
"EventsPerSecond";"PD_q0_est_Axis1";-0,31;0,07;-4,55;0;"***"
"(Intercept)";"PD_q1_est_Axis1";0,74;0,5;1,5;0,14;" "
"SoundscapeSaturation";"PD_q1_est_Axis1";0,33;0,14;2,46;0,02;"*"
"EntropyOfVarianceSpectrum";"PD_q1_est_Axis1";0,94;0,32;2,91;0,01;"**"
"AcousticComplexity";"PD_q1_est_Axis1";-3,13;1,02;-3,08;0;"**"
"TemporalEntropy";"PD_q1_est_Axis1";1,55;0,44;3,51;0;"***"
"EventsPerSecond";"PD_q1_est_Axis1";-0,14;0,05;-2,86;0,01;"**"
"(Intercept)";"PD_q2_est_Axis1";1,55;0,74;2,1;0,04;"*"
"SoundscapeSaturation";"PD_q2_est_Axis1";0,56;0,2;2,77;0,01;"**"
"EntropyOfVarianceSpectrum";"PD_q2_est_Axis1";0,97;0,48;2,03;0,05;"*"
"AcousticComplexity";"PD_q2_est_Axis1";-5,02;1,52;-3,31;0;"**"
"TemporalEntropy";"PD_q2_est_Axis1";2,6;0,66;3,95;0;"***"
"EventsPerSecond";"PD_q2_est_Axis1";-0,36;0,07;-4,97;0;"***"
