"SoundIndices";"Diversity";"Estimates";"pValue";"SignificanceCode";"Rsquared";"Ftest"
"Int";"TD_q0";0,20057314149255;1;" ";0,227890833426367;131,380265408671
"dis_AcousticDiversity_s";"TD_q0";0,0141239550022834;0,663;" ";0,227890833426367;131,380265408671
"dis_AcousticEveness_s";"TD_q0";0,016259573163479;0,595;" ";0,227890833426367;131,380265408671
"dis_BioAcoustic_s";"TD_q0";0,0350802976988658;0,001;"***";0,227890833426367;131,380265408671
"dis_SoundscapeSaturation_s";"TD_q0";-0,0254511854700788;0,025;"*";0,227890833426367;131,380265408671
"dis_EntropyOfVarianceSpectrum_s";"TD_q0";0,0170508141344798;0,068;".";0,227890833426367;131,380265408671
"dis_AcousticComplexity_s";"TD_q0";0,0836529946653723;0,001;"***";0,227890833426367;131,380265408671
"dis_TemporalEntropy_s";"TD_q0";0,0312395378884362;0,001;"***";0,227890833426367;131,380265408671
"dis_EventsPerSecond_s";"TD_q0";0,03087091515734;0,003;"**";0,227890833426367;131,380265408671
"Int";"TD_q1";0,291363760829712;1;" ";0,230215106113315;133,120953557935
"dis_AcousticDiversity_s";"TD_q1";0,0116336688378919;0,698;" ";0,230215106113315;133,120953557935
"dis_AcousticEveness_s";"TD_q1";0,0201248457075499;0,435;" ";0,230215106113315;133,120953557935
"dis_BioAcoustic_s";"TD_q1";0,0327139276852471;0,002;"**";0,230215106113315;133,120953557935
"dis_SoundscapeSaturation_s";"TD_q1";-0,0260625016900979;0,014;"*";0,230215106113315;133,120953557935
"dis_EntropyOfVarianceSpectrum_s";"TD_q1";0,020653887817982;0,014;"*";0,230215106113315;133,120953557935
"dis_AcousticComplexity_s";"TD_q1";0,0820054130072979;0,001;"***";0,230215106113315;133,120953557935
"dis_TemporalEntropy_s";"TD_q1";0,0331797069271463;0,001;"***";0,230215106113315;133,120953557935
"dis_EventsPerSecond_s";"TD_q1";0,0324736470623617;0,001;"***";0,230215106113315;133,120953557935
"Int";"TD_q2";0,391418789006229;1;" ";0,215895960730409;122,561145852077
"dis_AcousticDiversity_s";"TD_q2";0,00846247164213015;0,712;" ";0,215895960730409;122,561145852077
"dis_AcousticEveness_s";"TD_q2";0,0249424582915022;0,272;" ";0,215895960730409;122,561145852077
"dis_BioAcoustic_s";"TD_q2";0,0296890606739224;0,001;"***";0,215895960730409;122,561145852077
"dis_SoundscapeSaturation_s";"TD_q2";-0,0265615736456402;0,005;"**";0,215895960730409;122,561145852077
"dis_EntropyOfVarianceSpectrum_s";"TD_q2";0,0233556102285014;0,005;"**";0,215895960730409;122,561145852077
"dis_AcousticComplexity_s";"TD_q2";0,0752500315749353;0,001;"***";0,215895960730409;122,561145852077
"dis_TemporalEntropy_s";"TD_q2";0,0359247287913692;0,001;"***";0,215895960730409;122,561145852077
"dis_EventsPerSecond_s";"TD_q2";0,0321696998917214;0,001;"***";0,215895960730409;122,561145852077
"Int";"FD_q0";0,0112780912753864;1;" ";0,260447669826533;156,759385781859
"dis_AcousticDiversity_s";"FD_q0";0,0077251513572426;0,201;" ";0,260447669826533;156,759385781859
"dis_AcousticEveness_s";"FD_q0";-0,00228154909384603;0,681;" ";0,260447669826533;156,759385781859
"dis_BioAcoustic_s";"FD_q0";0,00466307336142169;0,005;"**";0,260447669826533;156,759385781859
"dis_SoundscapeSaturation_s";"FD_q0";-0,00503046844729352;0,03;"*";0,260447669826533;156,759385781859
"dis_EntropyOfVarianceSpectrum_s";"FD_q0";0,0026243935918423;0,177;" ";0,260447669826533;156,759385781859
"dis_AcousticComplexity_s";"FD_q0";0,0168112688627106;0,001;"***";0,260447669826533;156,759385781859
