"X","Plot_ID","Latitude","Longitude","Elevation","Category7","Category10","AcousticDiversity","AcousticEveness","BioAcoustic","SoundscapeSaturation","EntropyOfVarianceSpectrum","AcousticComplexity","TemporalEntropy","EventsPerSecond","Color","TD_q0_est_Axis1","TD_q1_est_Axis1","TD_q2_est_Axis1","FD_q0_est_Axis1","FD_q1_est_Axis1","FD_q2_est_Axis1","PD_q0_est_Axis1","PD_q1_est_Axis1","PD_q2_est_Axis1"
16,"CAZ01",0.412866,-79.259515,150,"CA_M","A_Caca",5.221409594,0.417751686,456.9790638,0.810969761,0.456330034,0.459254328,0.063778547,1.811945064,"orange",-0.384908296858388,-0.393457778386904,-0.406644661834068,-0.0617299587325622,-0.0701038974948087,-0.0920882860253678,-0.291645027250777,-0.194498847832248,-0.26233630855609
17,"CAZ05",0.426547,-79.24618,160,"CA_M","A_Caca",5.214712139,0.417980454,421.2068614,0.815080915,0.505584578,0.464182908,0.044938417,1.020377604,"orange",-0.34659449662859,-0.398409272282571,-0.439424333298112,-0.0111563211981872,-0.0273710014737165,-0.0667613258260017,-0.360765869685464,-0.233404361564522,-0.28658419263722
18,"CAZ07",0.399314,-79.25305,170,"CA_M","A_Caca",5.219186448,0.420005003,425.0570854,0.780941918,0.417623598,0.464405529,0.057654137,0.773412698,"orange",-0.370663916464286,-0.379967926503825,-0.391709945072736,-0.0682249580167354,-0.0934612508348099,-0.125496375245991,-0.334531535908187,-0.222997802311635,-0.314098502851937
19,"CAZ12",0.421661,-79.235676,167,"CA_M","A_Caca",5.2232677,0.419996457,415.2054911,0.798877534,0.430856086,0.474372638,0.048537789,0.983330233,"orange",-0.400181558068861,-0.480010140760548,-0.489575685807554,-0.106634064261702,-0.116270414654958,-0.138361536856334,-0.379084559464995,-0.270802883440788,-0.393922860700982
20,"CAZ14",0.41128,-79.265714,148,"CA_M","A_Caca",5.152284256,0.456807667,433.6275372,0.756431943,0.473238558,0.454130112,0.072700002,1.595079985,"orange",-0.30397720504431,-0.39205989615548,-0.418419286325464,-0.0903845342837259,-0.0982282101020659,-0.119599708903971,-0.336885431723882,-0.237059173259875,-0.350116181172704
21,"CAZ17",0.407272,-79.2509,163,"CA_M","A_Caca",5.227775793,0.407774247,466.1567818,0.813944499,0.43686099,0.485362045,0.097457261,1.557986111,"orange",-0.269579136438774,-0.369350404424795,-0.430258310354797,-0.0812772101353847,-0.104058224210615,-0.136807952224159,-0.318103283012477,-0.207819477255833,-0.280878679569703
28,"OGZ04",0.409508,-79.253342,160,"OG_M","A_Old",5.154506652,0.466715695,370.6441043,0.729602632,0.433870283,0.440084064,0.038960588,0.957130456,"sienna",8.56418708700582e-06,-0.0848223977115586,-0.174217811734604,-0.0153430649437222,-0.0263935902992936,-0.0428323243775047,-0.0272588433155441,-0.0663360766465594,-0.198498761401739
29,"OGZ09",0.395029,-79.25339,170,"OG_M","A_Old",5.212150501,0.431237732,244.5543288,0.633533296,0.479267394,0.431166862,0.028804686,0.752759177,"sienna",-0.120268563269806,-0.084961475904232,-0.110621884502721,0.000842389125989084,-0.00891818284375989,-0.00884982413808291,-0.0800551346865148,-0.08008327940679,-0.0922354813289353
30,"OGZ10",0.433639,-79.235779,165,"OG_M","A_Old",5.198501186,0.43580552,357.0446583,0.776749384,0.453501523,0.43775491,0.041873139,0.755719866,"sienna",0.0895486351646097,0.0632321010813973,0.0732274446700245,-0.00531784922163713,-0.000795554192399629,0.00192627226794857,0.0636570861274119,0.076150415340514,-0.00174656911358212
31,"OGZ13",0.423632,-79.261471,145,"OG_M","A_Old",5.190047633,0.441057923,355.3624656,0.786311558,0.558957198,0.438024092,0.03832922,1.030555556,"sienna",-0.0977831529335128,-0.0660439578965217,-0.065815145401464,-0.02272797068825,-0.0154857066114203,-0.0191124831312062,-0.100586783020512,0.00394169411116607,-0.0708127948067902
