Plot;Sample;Aburria_aburri;Acropternis_orthonyx;Andigena_laminirostris;Ara_ambigua;Basileuterus_tristriatus;Campephilus_gayaquilensis;Camptostoma_obsoletum;Cantorchilus_leucopogon;Catharus_fuscater;Celeus_loricatus;Claravis_pretiosa;Clibanornis_rubiginosus;Colaptes_rubiginosus;Conopias_albovittatus;Contopus_sordidulus;Cryptoleucopteryx_plumbea;Crypturellus_soui;Crypturellus_transfasciatus;Cyanolyca_turcosa;Cyclarhis_gujanensis;Cyclarhis_nigrirostris;Dendrocincla_fuliginosa;Dendrocolaptes_sanctithomae;Dendrocygna_autumnalis;Dysithamnus_puncticeps;Elaenia_flavogaster;Electron_platyrhynchum;Formicarius_nigricapillus;Furnarius_leucopus;Glaucidium_peruanum;Grallaria_flavotincta;Grallaria_guatimalensis;Grallaria_haplonota;Grallaria_ruficapilla;Gymnopithys_bicolor;Hafferia_zeledoni;Hylopezus_perspicillatus;Lathrotriccus_griseipectus;Legatus_leucophaius;Lepidocolaptes_souleyetii;Leptotila_ochraceiventris;Leptotila_verreauxi;Lipaugus_unirufus;Lophostrix_cristata;Lophotriccus_pileatus;Machaeropterus_deliciosus;Megascops_centralis;Megascops_ingens;Megascops_roboratus;Micrastur_semitorquatus;Microbates_cinereiventris;Microcerculus_marginatus;Momotus_subrufescens;Myadestes_ralloides;Myiarchus_phaeocephalus;Myioborus_miniatus;Myiothlypis_fraseri;Notharchus_hyperrhynchus;Nyctidromus_albicollis;Nyctiphrynus_rosenbergi;Nystalus_radiatus;Ornithion_brunneicapillus;Ortalis_erythroptera;Patagioenas_plumbea;Patagioenas_subvinacea;Penelope_purpurascens;Phaenostictus_mcleannani;Pharomachrus_auriceps;Pheugopedius_sclateri;Philydor_rufum;Piaya_cayana;Poliocrania_exsul;Pseudastur_occidentalis;Psittacara_erythrogenys;Pyriglena_leuconota;Querula_purpurata;Ramphastos_ambiguus_swainsonii;Ramphastos_brevis;Ramphocaenus_melanurus;Saltator_atripennis;Saltator_grossus;Saltator_maximus;Saltator_striatipectus;Schiffornis_veraepacis;Sclerurus_mexicanus_obscurior;Scytalopus_spillmanni;Semnornis_ramphastinus;Sipia_nigricauda;Spizaetus_ornatus;Sporophila_funerea;Synallaxis_tithys;Syndactyla_subalaris;Taraba_major;Thamnistes_anabatinus;Thripadectes_ignobilis;Tinamus_major;Troglodytes_solstitialis;Trogon_collaris;Trogon_comptus;Trogon_rufus;Turdus_maculirostris;Xiphocolaptes_promeropirhynchus;Xiphorhynchus_erythropygius;Zimmerius_albigularis
ACN1;Audiofile1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACN1;Audiofile2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACN1;Audiofile3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACN1;Audiofile4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACN1;Audiofile5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACN1;Audiofile6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACN1;Audiofile7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACN1;Audiofile8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACN1;Audiofile9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACN1;Audiofile10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
