Name Phylogeny Latin;APN1;APN2;APW2;CA59;CA60
Amazilia_amabilis;0;0;0;1;2
Amazilia_franciae;0;0;0;1;0
Amazilia_rosenbergi;0;0;1;0;2
Amazilia_tzacatl;1;3;2;8;8
Amazona_autumnalis;0;0;1;0;1
Amazona_farinosa;0;1;2;2;1
Amblycercus_holosericeus;1;0;1;0;0
Ara_ambiguus;0;0;0;1;0
Attila_spadiceus;1;9;0;8;1
Automolus_ochrolaemus;0;0;1;0;0
Baryphthengus_martii;0;0;6;1;1
Buteo_magnirostris;0;1;0;0;1
Buteo_nitidus;0;0;0;1;0
Cacicus_uropygialis;2;2;2;1;1
Campephilus_gayaquilensis;0;0;0;1;4
Camptostoma_obsoletum;7;2;1;11;9
Campylorhamphus_trochilirostris;0;2;0;1;1
Campylorhynchus_zonatus;0;0;4;0;0
Capito_squamatus;0;0;2;0;0
Carduelis_xanthogastra;0;0;0;1;3
Catharus_ustulatus;0;0;0;0;1
Celeus_loricatus;0;0;8;0;0
Cercomacra_tyrannina;1;1;2;0;0
Chlorophanes_spiza;0;0;1;0;1
Claravis_pretiosa;0;2;0;8;0
Coereba_flaveola;4;16;11;9;4
Colaptes_rubiginosus;0;1;2;0;0
Colonia_colonus;0;0;16;1;5
Columbina_buckleyi;0;5;0;0;0
Contopus_sordidulus;0;0;0;2;5
Coragyps_atratus;0;0;0;0;1
Crotophaga_ani;7;4;0;0;0
Crypturellus_soui;9;9;15;9;1
Cyanerpes_caeruleus;1;0;4;0;0
Dacnis_berlepschi;0;0;0;1;0
Dacnis_cayana;0;0;3;0;0
Dacnis_lineata;1;0;1;5;4
Damophila_julie;0;0;1;1;0
Dendrocincla_fuliginosa;0;0;3;0;0
Dives_warszewiczi;2;3;0;0;0
Dryocopus_lineatus;2;1;0;2;0
Elaenia_flavogaster;2;3;0;6;0
Electron_platyrhynchum;0;0;0;2;0
Empidonax_virescens;0;0;0;2;1
Eubucco_bourcierii;0;0;2;0;0
Euphonia_fulvicrissa;0;0;0;0;1
Euphonia_laniirostris;11;7;2;5;3
Euphonia_saturata;1;0;6;1;1
Euphonia_xanthogaster;0;0;0;1;2
Falco_rufigularis;0;0;1;0;0
Florisuga_mellivora;0;0;1;0;0
Fluvicola_nengeta;3;6;0;0;1
Formicarius_nigricapillus;0;0;8;0;0
Forpus_coelestis;1;2;0;0;0
Furnarius_leucopus;6;3;0;1;0
Galbula_ruficauda;0;2;1;0;1
Geothlypis_semiflava;4;9;0;0;0
Geotrygon_saphirina;0;0;2;0;0
Geotrygon_veraguensis;0;0;0;9;1
Geranospiza_caerulescens;0;0;1;0;0
Glaucidium_peruanum;0;1;0;0;0
Glyphorynchus_spirurus;0;0;1;0;0
Heliodoxa_jacula;0;0;1;0;0
Henicorhina_leucosticta;0;0;3;0;1
Herpetotheres_cachinnans;0;3;4;0;0
Heterospingus_xanthopygius;0;0;0;0;1
Hylopezus_perspicillatus;0;0;5;0;0
Hylophilus_decurtatus;0;0;4;0;1
Laterallus_albigularis;0;1;1;0;0
Legatus_leucophaius;1;6;0;18;1
Lepidocolaptes_souleyetii;5;4;5;3;0
Leptodon_cayanensis;0;0;0;1;0
Leptotila_pallida;0;0;9;6;0
Leptotila_verreauxi;8;3;5;7;0
Lophotriccus_pileatus;0;0;3;0;2
Manacus_manacus;2;1;0;2;0
Megarynchus_pitangua;3;1;1;4;0
Melanerpes_pucherani;9;8;10;8;1
Microcerculus_marginatus;0;0;4;0;4
Microrhopias_quixensis;0;0;1;0;0
Mionectes_oleagineus;0;0;1;0;0
Mionectes_olivaceus;0;0;0;0;1
Mitrephanes_phaeocercus;0;0;0;0;1
Mitrospingus_cassinii;0;0;0;1;0
Molothrus_bonariensis;4;0;0;0;0
Myiarchus_tuberculifer;2;0;0;2;5
Myiopagis_caniceps;0;0;2;0;0
Myiopagis_viridicata;0;0;1;0;0
Myiophobus_fasciatus;0;2;0;1;0
Myiornis_atricapillus;3;0;4;0;1
Myiotriccus_ornatus;0;0;1;1;0
Myiozetetes_cayanensis;20;23;2;10;13
Myiozetetes_granadensis;10;16;0;1;0
Myiozetetes_similis;4;4;0;3;5
Myrmeciza_exsul;1;0;10;1;8
Myrmeciza_immaculata;0;0;0;0;2
Myrmotherula_pacifica;0;4;0;1;4
Neochelidon_tibialis;2;2;3;1;5
Notharchus_tectus;0;0;1;0;0
Nyctidromus_albicollis;0;0;0;0;1
Nystalus_radiatus;3;0;1;1;0
Odontophorus_erythrops;1;6;4;0;2
Ornithion_brunneicapillus;0;0;1;0;0
Ortalis_erythroptera;0;0;4;0;0
Oryzoborus_funereus;9;12;0;4;3
Pachyramphus_cinnamomeus;0;3;5;0;0
Passer_domesticus;0;0;0;1;0
Patagioenas_cayennensis;2;0;0;1;0
Patagioenas_goodsoni;2;0;3;1;1
Patagioenas_subvinacea;1;10;6;9;4
Phaeothlypis_fulvicauda;0;0;0;1;0
Phaethornis_striigularis;0;0;0;0;1
Phaethornis_yaruqui;0;0;2;0;0
Phyllomyias_griseiceps;0;3;0;6;3
Picumnus_olivaceus;0;1;0;0;4
Pionus_chalcopterus;0;1;1;1;1
Pionus_menstruus;0;0;0;3;3
Piranga_rubra;1;1;0;2;0
Platyrinchus_mystaceus;0;0;0;0;1
Polioptila_plumbea;5;0;0;1;2
Psarocolius_wagleri;0;0;1;0;0
Pteroglossus_torquatus;0;0;1;1;0
Pygochelidon_cyanoleuca;11;9;0;2;3
Pyrilia_pulchra;0;0;0;1;0
Pyrrhura_melanura;0;2;0;0;0
Ramphastos_ambiguus;6;6;2;2;7
Ramphastos_brevis;4;0;3;0;2
Ramphocelus_flammigerus;11;13;6;6;9
Saltator_atripennis;1;0;0;2;0
Saltator_grossus;0;1;4;0;3
Saltator_maximus;3;6;4;5;6
Spizaetus_ornatus;0;0;0;1;0
Sporophila_corvina;11;6;0;5;5
Sporophila_nigricollis;5;0;0;1;2
Stelgidopteryx_ruficollis;21;17;0;4;6
Strix_virgata;0;0;0;1;0
Synallaxis_brachyura;1;2;0;0;0
Tachyphonus_luctuosus;0;0;0;0;1
Tachyphonus_rufus;0;1;0;0;0
Tangara_cyanicollis;1;1;7;5;1
Tangara_gyrola;0;0;4;0;1
Tangara_icterocephala;0;0;2;0;0
Tangara_johannae;0;0;0;0;1
Tangara_larvata;4;0;8;7;1
Tangara_palmeri;0;0;4;0;0
Taraba_major;0;11;0;0;0
Tersina_viridis;0;1;0;0;1
Thamnophilus_atrinucha;1;1;4;1;1
Thraupis_episcopus;19;7;6;14;4
Thraupis_palmarum;10;7;4;4;2
Threnetes_ruckeri;0;0;1;0;1
Thryothorus_leucopogon;0;0;0;1;0
Thryothorus_nigricapillus;1;2;12;0;12
Tiaris_obscurus;0;0;0;1;0
Tiaris_olivaceus;0;0;1;0;0
Tinamus_major;0;0;0;1;3
Tityra_inquisitor;0;0;0;0;1
Tityra_semifasciata;0;0;3;2;0
Todirostrum_cinereum;12;23;1;4;6
Todirostrum_nigriceps;0;0;2;0;0
Troglodytes_aedon;16;14;0;6;11
Trogon_caligatus;0;0;2;0;1
Trogon_chionurus;1;0;2;2;0
Trogon_collaris;0;0;2;0;0
Trogon_comptus;0;0;0;0;1
Trogon_rufus;0;0;2;0;0
Turdus_maculirostris;7;2;2;2;1
