Name Phylogeny Latin;Hand-WingIndex;Mass;Habitat;TrophicNiche;RangeSize
Mionectes_olivaceus;17;15,3;Shrubland;Frugivore;10,97
Euphonia_fulvicrissa;20,2;11;Forest;Frugivore;198414,88
Dacnis_lineata;25,6;11;Forest;Frugivore;6051189,29
Mionectes_oleagineus;17,1;11,2;Forest;Frugivore;8947569,12
Dacnis_berlepschi;19,1;12,8;Forest;Frugivore;11710,39
Euphonia_xanthogaster;22,4;13;Forest;Frugivore;3715684,5
Dacnis_cayana;24,7;13;Forest;Frugivore;12058770,43
Euphonia_saturata;22,2;13,3;Forest;Frugivore;95078,53
Euphonia_laniirostris;23,4;15;Forest;Frugivore;4464958,75
Manacus_manacus;15,9;16,7;Forest;Frugivore;7524946,19
Tangara_cyanicollis;21,9;17;Forest;Frugivore;1248379,88
Chlorophanes_spiza;24,7;19;Forest;Frugivore;7921066,07
Tangara_larvata;21,4;20;Forest;Frugivore;480330,12
Tangara_johannae;24,2;20;Forest;Frugivore;69226,47
Tangara_gyrola;21,1;21;Forest;Frugivore;4181131,62
Tangara_icterocephala;21,9;22;Forest;Frugivore;75164
Legatus_leucophaius;25,5;22,2;Forest;Frugivore;11371457,31
Tersina_viridis;29,1;29;Forest;Frugivore;8757523,61
Tangara_palmeri;21,3;32,3;Forest;Frugivore;44181,15
Ramphocelus_flammigerus;15,1;33;Forest;Frugivore;31694,68
Eubucco_bourcierii;14,8;37;Forest;Frugivore;234502,7
Tityra_inquisitor;26,5;43,1;Forest;Frugivore;11190798,84
Trogon_caligatus;37,1;46,5;Forest;Frugivore;7284998,29
Saltator_atripennis;12,8;55;Forest;Frugivore;110254,94
Capito_squamatus;19,4;59,3;Forest;Frugivore;63414,19
Pyrrhura_melanura;42;70,5;Forest;Frugivore;1490802,93
Tityra_semifasciata;24,8;79,3;Forest;Frugivore;6821138,58
Trogon_chionurus;35,3;89,7;Forest;Frugivore;242213,58
Pyrilia_pulchra;36,5;150;Forest;Frugivore;92646,19
Patagioenas_subvinacea;34,3;162,5;Forest;Frugivore;6899058,97
Patagioenas_goodsoni;34,2;176;Forest;Frugivore;87027,2
Pionus_chalcopterus;31,1;210;Forest;Frugivore;158502,65
Pteroglossus_torquatus;15,7;219,1;Forest;Frugivore;1002342,51
Patagioenas_cayennensis;35,1;229;Forest;Frugivore;13517479,29
Ramphastos_brevis;14,3;412;Forest;Frugivore;105684,5
Amazona_autumnalis;31;416;Forest;Frugivore;902004,22
Ortalis_erythroptera;12,3;632;Forest;Frugivore;74565,61
Ramphastos_ambiguus;10,1;651,7;Forest;Frugivore;597500,16
Saltator_maximus;16,9;47,6;Shrubland;Frugivore;9544602,66
Carduelis_xanthogastra;29,1;12,7;Forest;Granivore;161327,43
Claravis_pretiosa;26,7;68,2;Forest;Granivore;12977823,95
Leptotila_pallida;25,1;122,8;Forest;Granivore;117295,45
Ara_ambiguus;39,2;1300;Forest;Granivore;108291,56
Tiaris_olivaceus;18,9;8,5;Human Modified;Granivore;966505,17
Volatinia_jacarina;14,1;9,9;Human Modified;Granivore;15248241,41
Sporophila_corvina;17,8;10,6;Human Modified;Granivore;242707,87
Oryzoborus_funereus;15,4;13;Human Modified;Granivore;730927,96
Passer_domesticus;27,3;26,5;Human Modified;Granivore;34407867,59
Sporophila_nigricollis;14,7;9,6;Shrubland;Granivore;7194514,7
Tiaris_obscurus;14,7;11,2;Shrubland;Granivore;1000344,6
Leptotila_verreauxi;22,1;146,9;Shrubland;Granivore;15542979,81
Columbina_buckleyi;22,2;57,5;Woodland;Granivore;82687,64
Myiornis_atricapillus;14,9;5,7;Forest;Invertivore;184278,95
Todirostrum_nigriceps;16,4;6,5;Forest;Invertivore;401251,44
Ornithion_brunneicapillus;12,6;7,1;Forest;Invertivore;282994,63
Phyllomyias_griseiceps;18;7,2;Forest;Invertivore;707633,09
Lophotriccus_pileatus;15,7;7,5;Forest;Invertivore;475468,12
Microrhopias_quixensis;17,8;7,9;Forest;Invertivore;4104536,42
Hylophilus_decurtatus;12,8;8,5;Forest;Invertivore;856443,06
Mitrephanes_phaeocercus;25,3;8,6;Forest;Invertivore;599510,84
Platyrinchus_mystaceus;15,5;9,7;Forest;Invertivore;5068143,97
Myiotriccus_ornatus;19,8;9,9;Forest;Invertivore;149294,03
Zimmerius_albigularis;14,6;10,4;Forest;Invertivore;72300,96
Myiopagis_caniceps;18,7;10,5;Forest;Invertivore;2653719,82
Picumnus_olivaceus;15,5;10,6;Forest;Invertivore;493974,89
Neochelidon_tibialis;43,1;10,6;Forest;Invertivore;4182240,09
Myiopagis_viridicata;19;11,5;Forest;Invertivore;7389845,28
Empidonax_virescens;27,5;12,6;Forest;Invertivore;3006134,68
Tachyphonus_luctuosus;17,6;13;Forest;Invertivore;7144190,04
Contopus_sordidulus;33,5;13,1;Forest;Invertivore;6939803,44
Henicorhina_leucosticta;9,9;14,2;Forest;Invertivore;2745877,94
Glyphorynchus_spirurus;23,9;14,6;Forest;Invertivore;7368285,07
Phaeothlypis_fulvicauda;15,3;14,9;Forest;Invertivore;2473113,96
Cercomacra_tyrannina;9,3;16,3;Forest;Invertivore;3170819,2
Myiarchus_tuberculifer;18,8;17,7;Forest;Invertivore;10588401,3
